代碼,名稱,最新價,市盈率(TTM),市盈率(靜),所屬行業,股息率TTM,平均股息率-近3年,經營利潤率-近3次平均年度報告
00316,東方海外國際,153.400,10.036,8.60,航運及港口,5.80%,10.96%,19.06%
01919,中遠海控,17.030,8.452,7.61,航運及港口,6.63%,13.69%,18.34%
01866,中國心連心化肥,11.600,10.247,14.32,化肥及農用化合物,3.19%,7.49%,10.42%
02145,上美股份,21.400,10.732,6.95,護膚與化妝品,6.59%,3.89%,14.30%
01686,新意網集團,5.430,11.196,11.20,互聯網服務及基礎設施,2.21%,3.18%,50.43%
01692,登輝控股,1.330,9.301,7.64,家庭電器,10.90%,10.54%,17.23%
06038,信越控股,0.430,11.026,7.82,樓宇建造,8.14%,31.45%,14.76%
01378,中國宏橋,23.260,7.217,9.11,鋁,7.09%,14.98%,18.78%
01171,兗礦能源,13.190,10.092,14.03,煤炭,4.28%,10.60%,22.07%
02488,元征科技,6.950,7.637,7.48,汽車零件,11.53%,6.58%,15.83%
01913,普拉達,39.560,14.276,13.03,其他服飾配件,3.80%,2.92%,22.91%
02683,華新手袋國際控股,1.110,5.261,5.26,其他服飾配件,10.81%,23.86%,10.08%
02245,力勤資源,18.290,5.929,9.00,其他金屬及礦物,3.77%,4.88%,12.91%
01929,周大福,12.040,13.187,13.19,其他零售商,5.56%,6.17%,10.42%
02031,澳至尊,0.465,9.490,9.49,膳食補充品,4.30%,7.44%,14.04%
00536,貿易通,1.165,10.991,10.99,數碼解決方案服務,8.76%,13.30%,28.82%
00177,江蘇寧滬高速公路,9.820,9.195,9.72,鐵路及公路,5.70%,7.55%,36.91%
00995,安徽皖通高速公路,15.970,12.313,13.12,鐵路及公路,4.75%,8.41%,38.54%
01785,成都高速,2.020,5.302,5.47,鐵路及公路,6.93%,8.23%,29.63%
01126,德林國際,6.610,7.563,6.46,玩具及消閒用品,9.08%,15.37%,17.06%
09992,泡泡瑪特,153.400,13.402,14.44,玩具及消閒用品,1.79%,1.46%,32.30%
02156,建發物業,2.630,8.403,9.33,物業服務及管理,7.60%,8.24%,13.13%
09979,綠城管理控股,1.935,7.740,8.34,物業服務及管理,12.25%,10.38%,27.56%
01836,九興控股,11.730,10.236,9.22,鞋類,11.50%,14.75%,10.32%
02331,李寧,13.240,9.859,10.53,鞋類,5.10%,3.63%,12.96%
01513,麗珠醫藥,20.220,9.314,8.01,藥品,8.13%,6.14%,20.91%
01681,康臣葯業,13.670,8.480,9.61,藥品,5.38%,11.22%,34.86%
02633,雅各臣科研製藥,1.025,6.788,6.79,藥品,4.20%,12.28%,24.58%
01161,奧思集團,1.290,9.085,10.84,醫療及醫學美容服務,5.81%,8.62%,12.91%
01830,完美醫療,1.310,9.225,9.23,醫療及醫學美容服務,11.15%,11.17%,23.96%
02373,美麗田園醫療健康,17.800,9.983,12.55,醫療及醫學美容服務,4.04%,3.69%,13.80%
03600,現代牙科,7.910,10.777,12.38,醫療設備及用品,3.25%,4.48%,18.62%
06929,業聚醫療,3.850,9.300,9.77,醫療設備及用品,7.01%,4.06%,22.54%
08601,寶燵控股,0.241,9.640,8.61,重型基建,3.32%,22.29%,17.26%
00280,景福集團,0.605,5.402,5.40,珠寶鐘錶,4.96%,22.11%,10.34%
